score;app;review;label
1;Gojek;makin lama makin ga ada beres nya ini aplk gojek mesan gocar selalu di cancel pengemudi dan selalu susah buat dapati pengemudi tolong diperbaiki lagi la;1
5;Maxim;driver nya ramah baik saya pelanggan yang punya trauma jatuh dan drivernya mau nurutin untuk pelan pelan saja driver sangat terpercaya terima kasih pak driver sehat sehat terus ya pak;1
1;Maxim;banyak kendaraan roda duanya sudah tidak layak pakai kenapa harus diberikan jadi driver maxim pelayanan dan kenyamanan harus diutamakan;1
1;Maxim;tolong drivernya cari yang benar baik saya 2 kali dapat driver yang kurang ajar padahal saya udah percaya pake maxim;1
1;Grab;grab ga jelas makin hari makin naik grab hematnya lama kalo naik terus gini gamau lg pake grabdan driver suka ga jalan udh di tungguin lama;1
5;Grab;sangat membantu untuk perjalanan kami memudahkan untuk mencapai tempat yang dituju sehingga mempermudah mendapatkan sesuatu yang diinginkan;1
5;Maxim;aplikasi nya selalu tidak akurag mrncari titik penjemputan dan tujuan harus nya pake gps yg bagus dong perbaiki gps nya biar banyak pengguna nya;1
1;Gojek;aplikasi gak jelas susah cari gocar cancel seenaknya padahal sudah nunggu lama tolong pelayanan diperbaiki g ada kompensasi lagi;1
1;Gojek;cari gocar lama bgt mau tf ke bank lain jg lama bgt loading nya ga muncul2;1
1;Grab;makin kesini makin g jelas banyak iklan nya org nunggu driver tiba2 d alihkan ke halaman iklan;0
1;Gojek;lagi eror apa gimana ya belakangan dapat driver jauh terus padalah sudah prioritas udah gitu pihak driver suka ngecancel tiba tiba;1
3;Gojek;download nya lama sekalidiskon cuma awal pakaitapi enak gojek nya selalu dpet yang ramah dan baik 9510 ini aplikasi;1
5;Gojek;gojekkk topp bangett mksih bangett buat orang yang udah bikin apk inii inii ngebantu bangett buat sayaa banyakk ceritaa dan pengalaman seruu di gojek nggak sabar nunggu cerita di tahun 2025 nantii bareng gojekk itu capslock bukan marah yaa jek;1
1;Gojek;perbarui lagi ya apk nya ta3k banget sama driver suka cancel suspend aja yg suka cancel atau mau saya kerjain para driver pesenpas sampe saya cancel;1
1;Gojek;mohon di pertimbangkan lagi untuk merekrut driver gojeknya ya karena kebanyakan gojek sekarang tidak memiliki attitude yang baik alias kasaryang non costumer pun banyak yang mengeluh mohon di selisihkan lagi para driver yang tidak memiliki attitude yang baik terimakasih;1
5;Grab;grab promonya mantep diskon 15rb jd kita bisa ngelebihin 15rb nya ke driver yg anter pesenan kita dehh mantulll pokonyaaa;1
4;Grab;bisa tidak ya mulai menormalisasikan untuk tidak merokok di dalam kendaraan bau asap rokok itu susah hilangapalgi penumpang grabcar juga ada anak anakbumilorang tuabaik dalam kondisi sehat ataupun sakit please untuk para pengemudi dan konsumenhargai paru paru anda keluarga andadan penumpqng anda;1
3;Gojek;tolong diperbaiki maps nya sekarang sering tdk sesuai titik lokasi jauh pula akibatnya sering debat ama driver;1
5;Maxim;pengemudi khofifatus sholihah dengan motorcycle warna putih nopol s3878or selamat menikmati perjalanan anda rating 400 pengemudi khofifatus sholihah dengan motorcycle warna putih nopol s3878or selamat menikmati perjalanan anda rating 400;0
1;Gojek;driver pada jauh jadi lama tolong perbaiki lagi sistemnya jarak driver sama cs tidak lebih dari 2km jadi tidak nunggu lama;0
1;Gojek;yg dekat banyak knp yg jauh app lama kq kalah sama app yg baru lagi buru malah suruh nggu driver yg jauh lama pula makin sering di gunakan makin gk jelas ni app kebanyakan makan uang driver;1
1;Maxim;ga bagus banget tiap mencari driver lama sekali seperti sengaja apa karna biaya nya terlalu murah jadi driver tidak mau mengangkut mohon ditindak lanjut padahal posisi driver pada dekat semua;1
3;Gojek;plis bgt kalo ngarahin map yg bener2 aja lewat jalan umum aja gausah ngide nyari jalan paling cepet malah jadi lama ga semua driver paham kasian;1
1;Maxim;untuk di bandara ada tambahan biaya admin parkir yg kalau ditotal jadi lebih mahal dari gocar grabcar;1
1;Maxim;harga yang argo di penumpang sama si sopir beda drivernya pada tanya lewat jalan yang mana kalo pendatang gk tau jalan gimana;0
1;Gojek;pekerja gojek ini pada bertingkah gk mau klo yg dekat cari uang sepuluh 20 ajh bertingkah banget;1
4;Maxim;bintang 4 dulu karena masih ada beberapa hal yang harus ditingkatkan lagi maupun itu dari aplikasinya ataupun dari drivernya;1
1;Grab;potongan yg sangat besar di beban kan ke pihak konsumen driver dapat sedikit aplikasi perbudakan founder malaysia emang negara musuh indonesia;1
5;Gojek;selamat hidup aku pakai transportasi online bisa dihitung dgn jari kanan saja tp pengalaman yg saya dapat bagus semu driver sopan baik berusaha ngobrol dg akrab;1
1;Gojek;layanan go investasi tidak bisa di akses padahal sudah di upgrade grde makin gak jelas gojek nya bukan lagi sebagai problem solver sekarang tapi menjadi problem maker;1
5;Maxim;mantap supir nya pun rama dan baik mobil nya pun bersih dan wagi wak pokok nnya josss x;1
1;Maxim;beberapa driver nya kurang ajar baru saja kejadian baru nunggu 2 menit sudah ngamuk kayak udah nunggu bertahun;1
4;Gojek;tolong dong klo hujan d perbaiki posisi driver nya jauh2 semua padahal banyak yg dekat klo d liat di maps;1
5;Gojek;aplikasi yang bagus pernah ngalamin salah tf 110rb ke driver gojek tp csnya mau bantu sampai dana kembali ke saya potongan gocar nya juga banyak aplikasi yang sangat membantu recommended lahh;0
3;Gojek;saya gatau kenapa ya kalo setiap pesan gojek selalu di cancel dari drivernya udah ada ke 10x padhl lagi buru2 developernya bagaimana apk kok jadi gini pdhl dulu fine fine saja;0
3;Grab;tolong peta utk konsumen di perbaiki lagi sering nyangkut peta nya jd gk ketahuan udah sampe mana driver jemput nganter mknan nya;0
1;Maxim;tolong di perbaiki lagi masalah pejemputan drivernya dapat di jauh2 sedangkan yg saya liat ada yg driver posisinya dekat dengan saya;1
2;Gojek;setiap pesan gocar mau hemattidak jam malam gk ada yg nerima padahal ada banyak sekitaran daerah saya di stasiun prambanan heran;1
1;Maxim;drivernya bad attitude minta harga lebih dr aplikasinya dengan alasan sudah tidak ada promo padahal di aplikasi tercantum harga yang berbeda dengan yang di minta driver;1
1;Gojek;banayk iklan gk jelas padahal lagi main geme seru seru nya keluar secara tiba tiba karna iklan ini tolong iklan jangan ganggu;1
1;Gojek;tidak dapat gojek susah area surabaya utara aplikasi sampah nunggu 1jam gak dapat2 limit di blokir aplikasi sampah;0
1;Gojek;saya peke gocar hemat dari jam set 2 sampe jm set 5 gaada satu pun driver yang mau ambil padahal nominal pembayarannya semakin naik melebihi gocar biasa sangat tidak menyenangkan;0
1;Gojek;woi gojekkira2 klu bikin tarif nga mikir apa jemput 34kmongkos nya kadang 1520ribungalah2 in angkotini ngalahin rentenir lagi potongan nya buat pemerintah di tutup aja ini apk penghisap darah orang ongkos murah kena potongan lagi;1
3;Gojek;sekarang tarifnya mahal dulu trip yg biasanya 11rb13rb skrg jadi 20rblama2 ku log out juga nih gojek;1
5;Grab;senang aja dgn aplikasi dan promonya hanya sj knp skrg jd dpt abg grabnya jauh trs jd butuh waktu nunggu jd lamaaaaa mau cancel kasihan abg grabnya tlg ksh driver yg dekat aja ya;1
1;Gojek;gojek sekarang udah gak kayak dulu sekarang jadi mirip aplikasi scam banyak promo tapi setelah daftarin goplus promo nya malah ilang semua voucher sengaja dibikin gak ada tanggal berlaku biar sewaktu bisa dihapus berasa ditipu aplikasi sampah;0
1;Gojek;saya nunggu 2 jam masih ga dapet driver plis jika memang tidak bisa dapat driver dibatalkan saja jgn php;0
1;Gojek;sinyalnya buruk pakai kartu perdana apapun kalau chatingan pasti pending pending mulu heran aku sama gojek;1
1;Gojek;bajing terlalu lama nunggu nya gojek sialan kalau gak bisa ya minimal bisa di batalin tolol lama2 nunggu baru di bilang dk bisa dk ada driver ngapa tidak awal2;1
1;Gojek;parah kalo sudah hujan harganya tidak stabil sehingga drivernya jadi ga mau mengangkut penumpang karena berharap harga naik dan terus naik ga jelas manajemen nya ini;1
5;Gojek;layanan goride sangat membantu untuk aktifitas sehari di saat motor sedang perbaikan di bengkel masukan nya mgkin cuman kalo cuaca sedang hujan dlm situasi urgent butuh transport masih sering lama dpt driver nya;1
1;Grab;pelayanannya tidak ramah baru pertama kali pakai grab dan kesan drivernya sangat buruk gabakal mau pakai grab lagi;1
2;Grab;aplikasi diupdate malah makin jelk dam kadang saya suka dapat driver yang jauh yang membuat saya lama menunggu;1
1;Grab;drivernya ga jelas sudah nunggu lama malah dicancle lebih diperbaiki drivernya kalau tidak mumpuni tolong dipecat saja;1
5;Maxim;pak sopir ramah dan sopan mengerti dengan penumpang ditempat titik jemput daerah pelabuhan terima kasih pak sopir yang baik hati tuhan memberkati;1
1;Grab;saya tidak bisa request refund dana saya secara mandiri tolong aplikasi grab dipermudah cara request refund dana;0
5;Maxim;baru tau sy klo maxim semurah ini klo sy mau pake maxim trus trimakasih untuk driver nya abang nya baik bgtnganter ke tempat tujuan dgn selamat;1
1;Gojek;kasian driver nya pendapatan nya kecil buat 1kali trip nya tapi ongkos dari aplikasi nya mahal ditambah maps nya kadang eror ya yang paling penting ongkos yng keterima driver beda jauh sama ongkos dari apk gojek nya;1
2;Gojek;cuaca bagus jam sibuk kagak cari driver udah kaya cari emas lamanya udah kayak hewan hibernasi;1
1;Grab;kacau banget kecewa saya hanya ingin beri tahu untuk semua driver mobil jangan apa apa lewat tol padahal lewat jalur biasa aja bisa niat mau hemat malah boros karena harus bayar tol;1
2;Gojek;klo kata parah banget sih lu tarif murah2 bngt kasian driver lah mikir apa cuy kasihan deiver masa tarif motor goceng berkilo2 mobil 14rb berkilo2 gk mikir apa mereka butuh bensin dan lain2 klo bangkrut kan lu juga yg susah parah bener lu pada;1
2;Gojek;buruk sekali sekarang driver gocar yahbanyak alasan buat cancel penumpang dikala hujan semua nunggu ambil pas tarif mahalburuk banget sekarang gojek;1
1;Gojek;tolong bilangin ke driver mu itu kalau nyetir sepeda itu yang cepet dong padahal jalannya sepi masih aja dilambatin nyetirnya cokk anj bangkrut aja luhh punya nya makarim bedes;1
1;Maxim;percuma udah ada e walletnya tp driver masih maunya tunai klo bikin aplikasi jangan nanggung donggg;1
5;Gojek;gojek nyaaa baguss super duper jedar jedorr bintang 5 etmin jgaa asikk nya minta ampunn dahhh angkat tangan kalo ini mahhh yuk egee buruan download gojek jan pake lamaaa sinii gwa tunjukkin pelayanan terbagus;1
1;Gojek;ga jelas wifi kencang gk ada gangguan utk main game pun lancar giliran aplikasi ini blgnya internet mati terus internet gk stabil lah;0
5;Maxim;driver terbaik bintang nya kalo ada 10 tak kasih nya 11 pelayanan sangat luar biasa baik nya;1
1;Gojek;sekarang susah banget dapet driver mereka terlalu pilih pilih males pdhl saya selalu kasih tips udah bertahun tahun pake skrg kesel banget drivernya kalo gamau pick up yaudah langsung cancel aja jngn dibiarin kita nunggu lama lama gak gerak gerak gak mau konfirmasi juga;1
5;Gojek;sejauh ini cukup membantu sekali banyak promonya good lah pernah sekali dimaki2 driver karena menunggu hehehe gpp manusiawi kalo marah2 tp saya tetap pakai gojek kog aman;1
5;Maxim;aman nyaman dan ramah di kantong khususnya kalangan pelajar apalagi kalau drivernya ramah dan wangi itu lebih baik sukses selalu jasa maxim luar biasa;1
1;Gojek;gabisa login terus malah di suruh nggu 30 jam pdhl skrg udh laper banget pgn cb pesen makan di gojek waras;0
1;Gojek;udah 3 kali pesan masih aja gc dapet driver udah 2 jam nunggu tiga kali juga batal;0
1;Gojek;dear developer gojek kalau nulis deskripsi pada update aplikasi yang bener kaga usah lu bolak balik gitu kalimatnya kalau ga bisa nulis sini ya udah ga usah ditulis lol;1
5;Gojek;tolong kalau hari libur maps buat drivernya di update soalnya di ui kalau hari libur semua gerbang tutup cuma bisa lewat dekat tugu buku kasian driver nya mutar jauh banget;1
1;Gojek;setiap saya pesan setelah driver datang pasti saya tawarkan di luar aplikasi offline dan saya yg cancel kebanyakan driver setuju perusahaan ini sudah terlalu serakah dan tidak ada empatinya dgn mitra;1
1;Grab;aplikasi sampah wajar aja banyak ditinggalin driver dan pelanggan pindah kesebelah3x download gagal trus ngures kuota doang;1
3;Maxim;dapat driver engkong2 walaupun gemetar naeknya paling tidak maxim sudah mau memberi pekerjaan tidak memandang usiabuat engkong driversehat terus;1
1;Gojek;buat para customer yg kaya tokai klo bisa jgn maen cancel aja kalo sekira nya dpt nya jauh driver tolong di kabarin jgn seenak nya maen cancel driver udah sampe penjemputan maen cancel ajaklo bisa customer cancel di potong 5000 untuk driver;1
1;Grab;kenapa aplikasi saya tidak bisa tampilkan transportasi dan lain lain tdk seperti biasanya padahal sdh sy instal ulang;0
4;Gojek;oknum driver nya kurang sopan padahal kan saya baru belom terlalu paham harus nya di kasih edukasi bukan malah di katain kasar;1
1;Gojek;sejahterain driver min kasian driver sampe ngalong ujan2n argonya tambahin kasianrata2 driver pada ngeluh klo saya tanya;1
1;Gojek;masih belum diperbaiki kinerja driver atau apk nya ya gojek solusinya dong buat driver biar autobid pas lagi ujananeh susah banget dapat driver kalo ujanmanjaaa bgtkesel deh driver pada manja kalo ujan pada gamau narikga butuh rejeki apa ya;1
1;Gojek;aplikasi aneh tiba tiba muncul tagihan ongkos tolparkir dari tahun sebelum2nya padahal selama ini dipake juga aman aja karena memang udah dibayar ga jelas stop pakai gojek dan uninstall adl jawaban terbaik;0
5;Maxim;bapaknya ramah baik bgd udh mau bawa kitadari tadi mo klinik bawa yg sakit susah bgd pesen ojol dibatalin trsterima kasih ya pak sudah mau bawa kita disaat kita butuh bgdmaaf cm bs kasih tips sedikitsehat selalu bapak;1
1;Gojek;makin gajelasbuat dapet promo aja harus langganan gojek plussekarang udh ga ada promo yang kaya dulu lagimakin update makin gajelaspadahal ngasih promo juga profitnya udah banyak banget dari taxaplikasi kikir;1
2;Gojek;bingung ya sama gojek pakai gojek harus nya bisa lebih cepat dan gak menunggu lama dn harga ny juga semakin naik klo cuaca hujan harus nya driver selalu ready masa menunggu trus sihh harus bisa jadikan solusi penggunan ojol hadehh;1
1;Grab;tolong dipertegas untuk mitra grab carnya saya pesan dari grab car hemat plus sampai xl hampir 2 jam di cancel terus sama driver;0
3;Grab;sudah di update malah nambah fitur verifikasi selfie yang gajelas udah lama kepala sampe ngangguk2 ga jelas ga bisa bisa tembus pesen drivernya malah kaya orang dongo di tempat umum ngangguk2 verifikasi ribet;1
3;Grab;trauma bgt tiap naik grab car gaada yg bener tiap jalan supirnya ngeluh mulu macet lah apalah padahal kita sebagai customer gatau apa apa soal gitu memang sudah resiko mohon adain fitur silent buat pengemudi biar ga banyak ngeluh atau ngomong;1
3;Grab;kasih opsi agar ttp bisa di gunakan walau belum update kadang lagi kepepet sinyal lemot jadi kelamaan mau nyari driver;1
4;Gojek;perlu penyesuaian lagi saya sering di kasih driver yang jauh dari titik penjemputan terus jadi sering di cancel tolong tambah fitur memilih driver agar bisa memilih driver terdekat;1
1;Gojek;gojek ini banyak boong di bilang 1mnt lgi sampai tanya di undur jadi 4 mntt apa begitu cobaa banyak nipu nyagk sesuai y di promosiin tolol emng;0
5;Grab;saya setiap hari menggunakan grab aplikasi sangat bagus nyaman driver nya juga fast respon tapi terkadang kalau sedang hujan aplikasi ini suka loading lama;1
5;Maxim;selamat pagi semoga maxim lebih bagus lagi dari sebelumnya khususnya kami dipulau nias sangat terbantu dg adanya maximhanya sajasaya pengen lbh ditambahkan lagi seperti pembayaran jasa secara onlinemaximpay dan aman juga bagi kita tdk terjadi sesuatu hal;1
1;Gojek;yg bener ajah masa psen gojek selalu jauh titik nya rugi waktu jarak driver juga kasian bensin nyaaaa di le gmana sih gojek sekarang kaga ada akhlak;1
1;Gojek;kecewa berat baru aja make gojek seneng awal dpet voucher diskon eh taunya malah tiba ilang vouchernya udh gitu ditolak laporannya goodbye;1
1;Grab;kurang suka di cara pemilihan peta nya yang tidak bisa di atur dengan akuratmasa harus pasang pin di tempat yang harus ada di maps;0
1;Maxim;kecewa berat sih percuma punya fitur ewallet klo smua drivernya di kota makssr gk ada yg make tolong fitur ewalletnya di fungsiin ya kak biar gak kalah saing sm kompetitor sblh;1
5;Gojek;alhamdulillah selalu memuaskan pake aplikasi gojek menolong banget di saat sy ada di tempat yg asing tapi alhamdulillah bisa sampe ke tempat tujuan dianter abang gojek;1
1;Gojek;kendala tidak menemukan driver tp sistemnya gak ada solusi bertanya ke pusat bantuan juga sama saja tidak bisa dikasih masukan;1
3;Gojek;jadi takut kalo pake voucher hemat disinikalo pakenanti driver nya judesngasih rating customer nya jelekjadi susah dapet driver ga dikasih tips pasti ngomel;1
2;Gojek;sekarang malah semakin parah sdh dekat lho tiba2 di cancel sopir gojek kok gitu sekarang kok gak sopan gitu sdh terburu2 e malah di cancel tanpa ada pemberitahuan dlu parah;1
1;Grab;beberapa x mengalami dpt driver grabcar yg sangat tidak sopanlebih enak naik gocar atau taxi bluebird;1
1;Gojek;banyak driver nya sekarang pada ngemis tips karena argo yg dia terima gak sesuai ada yg nerima 5000ada yg 6000 tolong kasiani driver andaanda bisa jaya karena driver andahilangkan program anda;1
1;Maxim;tolong benerin apk nya dong sering gangguan muter2 terus abang ojolnya chat jadi ngga bisa dibales kita mau konfirm ke ojolnya jadi susan kasian ojolnya;1
1;Gojek;driver comfort lagunya sengaa gak mau diambil lucu bgt driver ojol tuh kalo ga mau ambil bilang biar dicancel wahai para driver dongoo biar org ga nunggu;1
3;Maxim;saya ingin mendaftar ulang sebagai driver tetapi sudah mengganti motor dan ktp di akun lama sudah terpakai apakah ada cara agar ktp lama saya bisa saya gunakan kembali;0
1;Grab;sangat kecewa karena pesan grabcar yang datang malah blue bird malah supirnya blue bird tidak ramah suka ngomel2 tarif murah;1
5;Gojek;good membuat semua orang menjadi dapat sampai ke tempat tujuan nya dengan selamat dan lancar tanpa kendala;1
1;Gojek;driver nya lama bangett yg harus nya anter ibu saya cuci darah jam 6 bisa sampe jam 7an;1
5;Gojek;mantaf smpe ga ngantuk nemenin ngbrol smngat trus cri cuan y pak supir sehat sll berkah selamat;1
3;Grab;bagus sih murah tapi kadang kasihan sama drivernya biasanya pas promo harga grabcar hemat sama dengan grab yg motor;1
5;Grab;sangat cepat cekatan pelayanan nya bagus terimakasih sudah mencari kan kendaraan dan pengemudi yg baik dan amanah dan ramah terimakasih;1
1;Gojek;gojek lagi ngeruk keuntungan pelanggan bayar 15rb driver terima cuma 5rb astaga gojek pantrs drivermu pada ngeluh semua aplikasi meres tenaga org lama2 habis pelanggan mu gojek;1
2;Gojek;sopir gocar rada belagudah tau pesan gocar yg xl ke tanya berapa orang dewasa 3 anak kecil 3 aja gak mau bawa sumpahin seret tuh driver rezeki nya;1
1;Grab;kesalahan driver lama malah customer yg nanggung konsekuensi dibatalin ya karena buruburudriver jauh malah dapet konsekuensi customer bakal dapet yang lebih jauh kalau sering batalin selagi driver belum jalan ngga masalah dong kalau dibatalin malah ngancem customer si grab ini haduh;1
5;Grab;mksh bang udah di bantu itu klrga dr jakarta sedangkan saya org biasa ga py mobil tolong pihak grab di bantu bila penumpang masih klrga dan sy pesan grab dr rmh tolong di permudah;1
1;Grab;sampai bikin 2 laporan ga ada yg beres permslhan ga selesai jg parah dah payah cari karyawan yg bs kerja;1
5;Grab;saran untuk grab ini backsoundnya mohon dihapus saja karena sangat mengganggu apalagi waktu mengangkat telfon saat dalam perjalan bersama drivernya suara backsoundnya masuk kedalam telfon;1
5;Grab;seneng sih dapat tarif murah tp kasian juga ke abangnya sy klo dapat tarif yg murah pasti inisiatif ngasih tip ke driver nya biar sesuai dengan tarif aplikasi lain nya;1
1;Grab;parah driver grab cirebon khususnya cideng raya orangnya senga amat ga ada ramah nya koq bisa orang kaya gitu jadi driver;1
5;Maxim;terimakasih pak semoga sehat dan di lancarkan rezekinyaa amiinn sangat bagus musik yg bagus pengemudi dengan hati hati pengemudi sopan tiba dengan cepat bersih rapi;1
2;Gojek;tolong untuk pihak gojek diperhatikan kmbali driver nya karena saya sering ketemu driver yg gatau gmaps driver yg komplen kalo jalan becek pdhl saya juga gatau kalau jalan tersebut becek atau sedikit banjir selama di jkt drivernya pada bagus setelah di tangerang pada gitu mksh;1
1;Maxim;aplikasi ga jelas dreafer nya pada sengaja di lambatin di apk nya tulisan udah tiba pas di cek dreafer nya masih jauh lebih mending grab atau gojek lebih aman walapun harga sedikit mahal;1
4;Gojek;aplikasi nya berat padahal saya buka aplikasi sosmed atau yang lainnya jaringan lancar tapi klo buka gojek lemot kaya gapunya kuota padahal pake wifi;1
5;Gojek;tolong untuk map diperbaikisering tidak sesuai dan membuat hubungan driver dengan penumpang jadi bermasalahtolong it nya kerja untuk memperbaiki masalah map kalo perlu terjun ke lapangan;1
5;Gojek;sengaja bintang 5ni gojek lama lemot amat chat driver ceklis terus tau sampemau tracking map malah lemot ga jalan;1
1;Gojek;driver gocar pada gak doyan duit padahal banyak yg mangkal tapi gak ambil sama sekali jarak deket 40 rebu;1
1;Gojek;drivernya pada ngemis2 minta tambah ongkos 100 ongkos dpt di 25rb di apk cust eh drivernya minta 60rb;1
1;Gojek;gojek taik ni drivernya penipu dan makin maki orang tanpa ada sebab yg jelas trus mempermainkan orang trus setela itu dilapor keadminnya tapi malaan saya yg diblok adminnya buat smuanya hati hati mengunakan gojek banyak driver penipu digojek tapi tidak ditindak tegas;1
4;Gojek;aplikasi saya tadi tu udah dapet driver dan kemudian ada driver yang nge cancel jadi nya banyak yang masuk chat sama jadinya saya kena omel sama driver jadi nya banyak yang masuk;0
1;Gojek;gojek parah dari jam 2 hujan sampe skr jam 6 sore dari miko mall ga ada yg maw ambil malah pada di cancel;0
1;Grab;kenapa selalu susah cari pengemudi dan malah dapat pengemudi yg jaraknya jauh nego harga sudah gak bjsa lagi;1
1;Gojek;kenapa sekarang makin sulit customer wajib vermuk kamera saya rusak gmn cara makai apk nya sangat kecewa;1
1;Gojek;gojek mahal skrg gaak asik saya mau pindah ke ojek kompetitor sebelah aja wkwkwkw semakin sering naek goride semakin tidak pernah mendapatkan promo kek dulu payah sekalinya ada promo pake bank wkwkwkw ribet bye gojek aku uninstall yah;1
1;Maxim;mau di buka lama banget padahal jaringan bagus pakai wifi yang mahal dan lancar banget tapi pas buka nih aplikasi butut maxim loading muluu sampai setengah jam an lebihh;1
1;Grab;buruk mapsnya gak jalan sekalinya jalan tidak lancar alias stuck stuck jadi tiba tiba sampe aja drivernya jadi kita taunya driver tidak jalan;0
4;Gojek;utamakan driver langsung jalan jika siap ambil jika tidak abaikan jangan buat pelanggan menunggu terlalu lama di akhir waktu menyebalkan rasanya;1
